"","name","region_focus","language","owner","parent","x_page","x_url","x_follower_n","facebook_page","facebook_url","facebook_follower_n","instagram_page","instagram_url","instagram_follower_n","threads_page","threads_url","threads_follower_n","youtube_page","youtube_url","youtube_follower_n","tiktok_page","tiktok_url","tiktok_follower_n","sum_followers"
"1","Yang Xinmeng (Abby Yang)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","_bubblyabby_","https://twitter.com/_bubblyabby_",1678,"itsAbby-103043374799622","https://www.facebook.com/itsAbby-103043374799622",1387432,"_bubblyabby_","https://www.instagram.com/_bubblyabby_/",9507,"_bubblyabby_","https://www.threads.net/@_bubblyabby_",197,"itsAbby","https://www.youtube.com/itsAbby",4680,"_bubblyabby_","https://www.tiktok.com/@_bubblyabby_",660,1404154
"2","CGTN Culture Express","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","_cultureexpress","https://twitter.com/_cultureexpress",2488,"","",0,"_cultureexpress/","https://www.instagram.com/_cultureexpress/",635,"","",0,"","",0,"","",0,3123
"3","All-China Students' Federation","China","Chinese","All-China Students' Federation","Central Committee of the Communist Youth League","ACSF1919","https://twitter.com/ACSF1919",5136,"","",0,"","",0,"","",0,"","",0,"","",0,5136
"4","Chen Zhong (Dechinghutay / Ghoti)","Afghanistan","Pashto","China Media Group (CMG)","Central Publicity Department","afghanchina","https://twitter.com/afghanchina",1800,"dechinghutay","https://www.facebook.com/dechinghutay/",1600000,"","",0,"","",0,"dechinghutay","https://www.youtube.com/channel/UCXl9X2fi65wKf65r13efAGQ",695,"dechinghutay","https://www.tiktok.com/@dechinghutay",326100,1928595
"5","Yang Sheng","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","AlexYsalex17","https://twitter.com/AlexYsalex17",2821,"","",0,"","",0,"","",0,"","",0,"","",0,2821
"6","Yunnan Gateway","Yunnan","Chinese","Yunnan Daily Press Group","State Council Information Office (SCIO)","Amazing_Yunnan","https://twitter.com/Amazing_Yunnan",12400,"","",0,"","",0,"","",0,"","",0,"","",0,12400
"7","Chen Xu","Switzerland","German","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Amb_ChenXu","https://twitter.com/Amb_ChenXu",12600,"","",0,"","",0,"","",0,"","",0,"","",0,12600
"8","Li Song","Austria","German","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Amb_LiSong","https://twitter.com/Amb_LiSong",5972,"","",0,"","",0,"","",0,"","",0,"","",0,5972
"9","Lu Kang","Indonesia","Bahasa Indonesia","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Amb_LuKang","https://twitter.com/Amb_LuKang",40600,"","",0,"","",0,"","",0,"","",0,"","",0,40600
"10","Zhang Yiming","UAE","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Amb_Yiming","https://twitter.com/Amb_Yiming",20300,"","",0,"amb_yiming","https://www.instagram.com/amb_yiming/",19,"","",0,"","",0,"","",0,20319
"11","Zhu Jing","EU","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Amb_ZhuJing","https://twitter.com/Amb_ZhuJing",18500,"","",0,"","",0,"","",0,"","",0,"","",0,18500
"12","Chinese Embassy in France","France","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbassadeChine","https://twitter.com/AmbassadeChine",63800,"AmbassadeChine","https://www.facebook.com/AmbassadeChine",61000,"ambassadedechine","https://www.instagram.com/ambassadedechine/",2593,"","",0,"","",0,"ambassadedechine","https://www.tiktok.com/@ambassadedechine",168600,295993
"13","Liu Yuxi","African Union","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Ambassador_Liu","https://twitter.com/Ambassador_Liu",11200,"","",0,"","",0,"","",0,"","",0,"","",0,11200
"14","Huang Xingyuan","Cyprus","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbassadorHuang","https://twitter.com/AmbassadorHuang",2534,"","",0,"","",0,"","",0,"","",0,"","",0,2534
"15","Lei Kezhong","Lesotho","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbassadorLei","https://twitter.com/AmbassadorLei",1470,"","",0,"","",0,"","",0,"","",0,"","",0,1470
"16","Chang Hua","Iran","Persian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbChangHua","https://twitter.com/AmbChangHua",26400,"","",0,"","",0,"","",0,"","",0,"","",0,26400
"17","Chen Bo","Serbia","Serbian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","AmbChenBo","https://twitter.com/AmbChenBo",12900,"","",0,"","",0,"","",0,"","",0,"","",0,12900
