"Name (English)","Region of Focus","Language","Entity owner (English)","Parent entity (English)","Instagram page","Instagram URL","Instagram Follower #"
"Yang Xinmeng (Abby Yang)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","_bubblyabby_","https://www.instagram.com/_bubblyabby_/",9507
"CGTN Culture Express","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","_cultureexpress/","https://www.instagram.com/_cultureexpress/",635
"Zhang Yiming","UAE","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","amb_yiming","https://www.instagram.com/amb_yiming/",19
"Chinese Embassy in France","France","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ambassadedechine","https://www.instagram.com/ambassadedechine/",2593
"Chinese Embassy in Italy","Italy","Italian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ambcina","https://www.instagram.com/ambcina",2175
"Wang Zeyu (Anosi Wang)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","anosiwang","https://www.instagram.com/anosiwang/",247
"Ma Ye (Ayisha Elseenya / عائشة الصينية)","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","ayisha_elseeny13","https://www.instagram.com/ayisha_elseeny13",41100
"Discover Beijing","Anglosphere","English","unknown","unknown","idiscoverbeijing","https://www.instagram.com/idiscoverbeijing",7137
"Beijing Review","Beijing","English","China International Communications Group (CICG)","Central Publicity Department","beijingreview","https://www.instagram.com/beijingreview/",3087
"Chinese Consulate General in Belfast","UK","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ccginbelfast","https://www.instagram.com/ccginbelfast/",50
"CCTV+","China","Chinese","China Media Group (CMG)","Central Publicity Department","cctv_video_news_agency","https://www.instagram.com/cctv_video_news_agency/",2190
"CGTN Inheritors","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtn_inheritors","https://www.instagram.com/cgtn_inheritors/",586
"CGTN Africa","African Union","English","China Media Group (CMG)","Central Publicity Department","cgtn_africa","https://www.instagram.com/cgtn_africa/",41500
"CGTN America","USA","English","China Media Group (CMG)","Central Publicity Department","cgtnamerica","https://www.instagram.com/cgtnamerica/",298000
"CGTN Arabic","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","cgtnarabic","https://www.instagram.com/cgtnarabic",178000
"CGTN Europe","EU","English","China Media Group (CMG)","Central Publicity Department","cgtneurope","https://www.instagram.com/cgtneurope/",30000
"CGTN Français","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","cgtnfrancais","https://www.instagram.com/cgtnfrancais/",248000
"CGTN","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","cgtn","https://www.instagram.com/cgtn/",2300000
